Game,Copies sold,Release date,Genre,Developer,Publisher,Console_name
Hyrule Warriors: Age of Calamity,4 million,2020-11-20,Hack and slash,Omega Force,JP: Koei TecmoNA/PAL: Nintendo,Nintendo Switch
Fitness Boxing 2: Rhythm and Exercise,1 million,2020-12-04,Exergamerhythm,Imagineer,JP: ImagineerNA/PAL: Nintendo,Nintendo Switch
Among Us,3.20 million,2020-12-15,Partysocial deduction,Innersloth,Innersloth,Nintendo Switch
Super Mario 3D World + Bowser's Fury,13.47 million,2021-02-12,Platformer,Nintendo EPD,Nintendo,Nintendo Switch
Story of Seasons: Pioneers of Olive Town,1 million,2021-02-25,Simulationrole-playing,Marvelous,Xseed Games,Nintendo Switch
Monster Hunter Rise,8.02 million,2021-03-26,Action role-playing,Capcom,Capcom,Nintendo Switch
New Pokémon Snap,2.74 million,2021-04-30,Photography,Bandai Namco Studios,JP: The Pokémon CompanyNA/PAL: Nintendo,Nintendo Switch
Miitopia,1.79 million,2021-05-21,Role-playing,Grezzo,Nintendo,Nintendo Switch
Game Builder Garage,1.15 million,2021-06-11,Programming,Nintendo EPD,Nintendo,Nintendo Switch
Mario Golf: Super Rush,2.48 million,2021-06-25,Sports,Camelot Software Planning,Nintendo,Nintendo Switch
The Legend of Zelda: Skyward Sword HD,4.15 million,2021-07-16,Action-adventure,Tantalus Media,Nintendo,Nintendo Switch
WarioWare: Get It Together!,1.34 million,2021-09-10,Party,Intelligent Systems,Nintendo,Nintendo Switch
Metroid Dread,3.07 million,2021-10-08,Action-adventure,MercurySteamNintendo EPD,Nintendo,Nintendo Switch
Mario Party Superstars,12.89 million,2021-10-29,Party,NDcube,Nintendo,Nintendo Switch
Shin Megami Tensei V,1.10 million,2021-11-11,Role-playing,Atlus,JP: AtlusNA: SegaPAL: Nintendo,Nintendo Switch
Pokémon Brilliant Diamond and Shining Pearl,15.06 million,2021-11-19,Role-playing,ILCA,The Pokémon CompanyNintendo,Nintendo Switch
Big Brain Academy: Brain vs. Brain,1.94 million,2021-12-03,Puzzle,"Nintendo EPD, indieszero",Nintendo,Nintendo Switch
Suika Game,7.40 million,2021-12-09,Puzzle,Aladdin X,Aladdin X,Nintendo Switch
Pokémon Legends: Arceus,14.83 million,2022-01-28,Action role-playing,Game Freak,The Pokémon CompanyNintendo,Nintendo Switch
Kirby and the Forgotten Land,7.52 million,2022-03-25,Platformer,HAL Laboratory,Nintendo,Nintendo Switch
Nintendo Switch Sports,13.11 million,2022-04-29,Sports,Nintendo EPD,Nintendo,Nintendo Switch
Mario Strikers: Battle League,2.54 million,2022-06-10,Sports,Next Level Games,Nintendo,Nintendo Switch
Fire Emblem Warriors: Three Hopes,1 million,2022-06-24,Hack and slashRole-playing,Omega Force,JP: Koei TecmoNA/PAL: Nintendo,Nintendo Switch
Xenoblade Chronicles 3,1.86 million,2022-07-29,Action role-playing,Monolith Soft,Nintendo,Nintendo Switch
Splatoon 3,11.96 million,2022-09-09,Third-person shooter,Nintendo EPD,Nintendo,Nintendo Switch
