Title,Copies sold,As of,Release date,Genre,Developer,Publisher,Console_name
Bayonetta 3,1.07 million,"March 31, 2023",2022-10-28,Action-adventurehack and slash,PlatinumGames,Nintendo,Nintendo Switch
Pokémon Scarlet and Violet,24.92 million,"March 31, 2024",2022-11-18,Role-playing,Game Freak,The Pokémon CompanyNintendo,Nintendo Switch
Fire Emblem Engage,1.61 million,"March 31, 2023",2023-01-20,Tactical role-playing,Intelligent Systems,Nintendo,Nintendo Switch
Metroid Prime Remastered,1.09 million,"March 31, 2023",2023-02-08,Action-adventure,Retro Studios,Nintendo,Nintendo Switch
Kirby's Return to Dream Land Deluxe,1.46 million,"March 31, 2023",2023-02-24,Platformer,HAL Laboratory,Nintendo,Nintendo Switch
The Legend of Zelda: Tears of the Kingdom,20.61 million,"March 31, 2024",2023-05-12,Action-adventure,Nintendo EPD,Nintendo,Nintendo Switch
Pikmin 4,3.48 million,"March 31, 2024",2023-07-21,Real-time strategy,Nintendo EPD,Nintendo,Nintendo Switch
Super Mario Bros. Wonder,13.44 million,"March 31, 2024",2023-10-20,Platformer,Nintendo EPD,Nintendo,Nintendo Switch
Momotaro Dentetsu World: Chikyuu wa Kibou de Mawatteru!,1 million,"December 21, 2023",2023-11-16,Board game,Konami,JP: Konami,Nintendo Switch
Super Mario RPG,3.31 million,"March 31, 2024",2023-11-17,Role-playing,ArtePiazza,Nintendo,Nintendo Switch
Dragon Quest Monsters: The Dark Prince,1 million,"January 17, 2024",2023-12-01,Role-playing,Tose,Square Enix,Nintendo Switch
Mario vs. Donkey Kong,1.12 million,"March 31, 2024",2024-02-16,Puzzle-platform,Nintendo Software Technology,Nintendo,Nintendo Switch
Princess Peach: Showtime!,1.22 million,"March 31, 2024",2024-03-22,Action-adventure,Good-Feel,Nintendo,Nintendo Switch
